U,sigma_U,TI
16.1146,0.933384,0.057921636280143476
16.1567,1.12241,0.0694702507318945
15.8069,1.08895,0.06889080085279214
15.618,0.945155,0.06051703163017031
16.4905,0.97271,0.05898608289621297
15.3258,1.03958,0.06783202181941562
14.703,0.836609,0.05690056451064409
14.6723,0.717992,0.04893520443284284
14.2217,0.941445,0.06619778226231744
13.1054,0.755386,0.05763929372625025
13.3665,1.20952,0.09048890883926233
14.2486,1.1973,0.08402930814255435
15.3478,1.30215,0.08484277876959564
15.3234,1.08615,0.07088178863698656
16.0205,1.25146,0.07811616366530384
15.7508,1.34655,0.08549089570053583
15.262,1.68779,0.110587734241908
14.5635,1.48737,0.10212998249047277
14.4131,1.08028,0.0749512596179864
14.7415,1.29032,0.08752976291422175
16.2661,1.34697,0.08280841750634754
14.9146,1.17704,0.0789186434768616
14.8819,1.60913,0.10812665049489648
15.3392,1.3048,0.08506310628976739
14.6077,1.23747,0.08471354148839312
14.6317,1.00564,0.0687302227355673
14.1273,1.22505,0.08671508356161474
14.446,1.50721,0.10433407171535374
13.6111,1.40821,0.1034604109880906
14.3728,1.73337,0.12060071802293221
14.073,1.16041,0.08245647694166133
13.1812,1.06741,0.08097972870451856
13.2503,1.34469,0.10148373999079266
15.2559,1.10186,0.07222517190070726
15.2256,1.15899,0.07612113808322825
15.0203,0.999246,0.06652636764911486
14.1152,1.0598,0.07508218091135797
13.9508,1.07295,0.07690956791008402
15.0342,1.07283,0.07135930079418924
16.0716,0.721089,0.0448672814156649
15.4922,1.27201,0.08210647938962833
16.0735,0.988336,0.06148853703300464
13.6385,1.12626,0.08257946255086702
14.4873,0.962862,0.066462487834172
14.0178,1.09827,0.07834824294825152
12.4252,1.22736,0.09877989891510801
14.3519,0.730894,0.05092663689128269
12.7038,0.990926,0.07800233001149262
15.0504,0.983193,0.06532670228033806
14.5736,1.21511,0.08337747708184662
14.0874,0.893514,0.06342646620384174
14.3699,1.04286,0.07257253008023716
14.8288,0.830543,0.05600878021148037
14.7839,0.926901,0.06269664973383207
13.8252,0.941808,0.06812255880565922
14.1292,0.851908,0.06029414262661721
13.8824,0.945191,0.06808556157436754
13.2106,1.07916,0.08168894675487866
13.5122,0.827436,0.06123621616021077
13.9691,0.540886,0.038720175243931246
